iter	Passed	Remaining
289	978	2396
290	980	2389
291	982	2381
292	984	2375
293	986	2368
294	988	2361
295	989	2354
296	991	2346
297	993	2339
298	994	2332
299	996	2324
300	998	2317
301	1000	2311
302	1002	2305
303	1003	2298
304	1005	2291
305	1007	2285
306	1009	2277
307	1010	2270
308	1012	2264
309	1014	2258
310	1016	2251
311	1018	2245
312	1019	2238
313	1021	2231
314	1022	2224
315	1024	2217
316	1025	2210
317	1027	2203
318	1028	2196
319	1030	2189
320	1031	2182
321	1033	2175
322	1034	2168
323	1036	2162
324	1037	2155
325	1039	2149
326	1042	2145
327	1044	2139
328	1045	2133
329	1047	2126
330	1048	2119
331	1050	2113
332	1051	2107
333	1053	2100
334	1054	2093
335	1056	2087
336	1057	2081
337	1059	2075
338	1061	2069
339	1062	2063
340	1064	2057
341	1066	2052
342	1068	2045
343	1069	2039
344	1071	2034
345	1073	2028
346	1074	2022
347	1076	2017
348	1078	2011
349	1079	2005
350	1081	1999
351	1082	1993
352	1084	1987
353	1085	1981
354	1087	1976
355	1089	1970
356	1090	1964
357	1092	1958
358	1093	1953
359	1095	1947
360	1097	1941
361	1098	1935
362	1099	1930
363	1101	1924
364	1103	1919
365	1104	1914
366	1106	1908
367	1108	1903
368	1109	1897
369	1111	1891
370	1112	1886
371	1114	1881
372	1115	1875
373	1117	1870
374	1119	1865
375	1120	1859
376	1122	1854
377	1123	1848
378	1124	1843
379	1126	1838
380	1129	1834
381	1131	1829
382	1132	1824
383	1134	1819
384	1136	1814
385	1137	1810
386	1139	1805
387	1141	1801
388	1143	1796
389	1145	1792
390	1147	1787
391	1149	1783
392	1151	1778
393	1153	1774
394	1155	1769
395	1157	1764
396	1158	1759
397	1160	1755
398	1162	1751
399	1163	1745
400	1165	1741
401	1167	1736
402	1168	1730
403	1169	1725
404	1171	1721
405	1173	1716
406	1174	1711
407	1176	1706
408	1177	1701
409	1179	1696
410	1180	1691
411	1182	1687
412	1183	1682
413	1185	1677
414	1186	1672
415	1187	1667
416	1189	1663
417	1191	1658
418	1192	1654
419	1194	1649
420	1196	1644
421	1197	1640
422	1199	1636
423	1200	1631
424	1202	1626
425	1204	1622
426	1206	1618
427	1207	1614
428	1209	1609
429	1210	1604
430	1212	1600
431	1213	1595
432	1215	1591
433	1216	1586
434	1219	1583
435	1220	1579
